image_id,common_scores,residual_scores,common_std,residual_std,same_as_C,same_as_Mean
9376,"[0.5409222385464245, 0.5442515713247325, 0.5393052600650564, 0.5475631297101049, 0.5498880008565865, 0.5270197619817758, 0.5449882709569736, 0.5410580224370451]","[0.28540570541887955, 0.2870883615830543, 0.2495986592919205, 0.28961626628808546, 0.27205766886382343, 0.27082257797532994, 0.2862789524402358, 0.2836245092595399]",0.006526488475096435,0.012579691398137019,True,False
9712,"[0.4216803622942919, 0.4876783148741958, 0.4863562878585014, 0.41104962396482114, 0.5443102604011358, 0.49987215967440646, 0.5340611679623669, 0.4883504453260819]","[0.02352664149373683, -0.012677849450602609, 0.010374269006173855, 0.002910476091664498, 0.008427935653295464, 0.0206074438648664, 0.005282412805388095, 0.029661418739831212]",0.04421346774890339,0.012566052952150195,False,False
9877,"[0.5175856784618051, 0.49943573709481376, 0.5357582002604139, 0.47273883058825017, 0.49104737602591675, 0.46729821717134745, 0.49511440804442186, 0.4989695521257412]","[0.1432525195494256, 0.13860544130518504, 0.13407583117243604, 0.1385233755491557, 0.13869650898217564, 0.14264307963068268, 0.1472428089785057, 0.1510747721261819]",0.020751792969725423,0.005107492989440078,False,False
10115,"[0.47020440347291415, 0.5271023723069264, 0.37982856627159944, 0.5351177009342173, 0.5314837974891096, 0.4093742431124252, 0.5096785621064048, 0.47231232064364037]","[0.05537105305457436, 0.05930212478847781, 0.04970065955908823, 0.07798731857801715, 0.05680572765827646, 0.05654128409653282, 0.07663659408618956, 0.07192861370681555]",0.05472929042164158,0.0101187870264185,True,True
10191,"[0.5577075073099219, 0.5140952405800157, 0.5542234316374692, 0.5383783890366889, 0.5396746243715722, 0.512954834528531, 0.5166444894739559, 0.5078294337582155]","[0.19831790517676973, 0.19039687479034054, 0.19164837140643193, 0.18800634342360753, 0.20035879566536008, 0.17843095820299879, 0.19534955300060433, 0.2062184018113455]",0.01847767175824237,0.007950487201035519,False,False
10361,"[0.4635779828298836, 0.480319973592226, 0.4846816235517156, 0.5000374770395065, 0.5197791478211284, 0.5163889290956896, 0.47685465109319247, 0.41433379382405466]","[0.027547562886909523, 0.045421756112786024, 0.02890111387926733, 0.04864011951502359, 0.014847015185622031, 0.0429940155758201, 0.04717527528493982, 0.04453038885066317]",0.031404194244098245,0.011435838225994683,False,False
10602,"[0.5478301343516109, 0.5354712284484328, 0.5675367007727692, 0.5375448655727854, 0.5502880910314916, 0.5177394739108259, 0.5522219454504663, 0.5616827105619988]","[0.16959892904470486, 0.18940772098895453, 0.16758273758984554, 0.187136365260429, 0.1839498649279926, 0.19107342243062436, 0.17697079457008497, 0.17327678010432385]",0.014792558457637371,0.008618857573596742,False,False
10622,"[0.5368941493826632, 0.5197603572564932, 0.5573650102922192, 0.4526798304061367, 0.5256571999906174, 0.5135901069907886, 0.5477957578500623, 0.4732173987231695]","[0.12181753309075097, 0.08581793120572001, 0.06938610827590463, 0.11056765714754627, 0.08558738482073369, 0.07064994828536433, 0.0813543620325177, 0.13630409784412362]",0.03374809023312781,0.023117613637806383,False,False
11050,"[0.4590044885036121, 0.41024179712576436, 0.49149727803460874, 0.46374402627098754, 0.5555982681994333, 0.5324126645090808, 0.5349187150820567, 0.4436692715270225]","[0.05423147539267062, 0.05474737045073076, 0.04298636298014165, 0.04704678977558574, 0.012555372900587216, 0.014596234761271676, 0.028361035936321825, 0.004774186909007919]",0.04766472251598409,0.018684547947094125,False,False
11274,"[0.5352014541860111, 0.5466160152473493, 0.5596351743184032, 0.5152802059939524, 0.5259851446469875, 0.5808689908979141, 0.5621262013004796, 0.5424720467498614]","[0.08672896922000063, 0.1145532324370728, 0.12854295793107845, 0.1058965405032255, 0.11836742730029207, 0.13208586327332644, 0.12678434598592425, 0.1362435267279456]",0.019797567033554845,0.015217420493611952,False,False
