method,image_id,cosine,forward_two_way,top1,top5
C,21558,0.8421317610456988,1.0,1.0,1.0
C,21887,0.7261175572986285,0.8777555110220441,0.0,0.0
C,22215,0.7501968560226819,0.9158316633266533,0.0,0.0
C,22299,0.7790702510535992,0.9919839679358717,0.0,1.0
C,22303,0.7973129878332808,0.9979959919839679,0.0,1.0
C,22452,0.6998481361628005,0.7094188376753507,0.0,0.0
C,22793,0.8168994414762808,0.9919839679358717,0.0,1.0
C,22803,0.7678970842178754,0.9478957915831663,0.0,0.0
C,22924,0.7462429605985735,0.9418837675350702,0.0,0.0
C,23314,0.8540433175567632,1.0,1.0,1.0
C,23445,0.8171248608374223,0.9959919839679359,0.0,1.0
C,23479,0.7238510622427499,0.9418837675350702,0.0,0.0
C,23623,0.7568632012082319,0.9599198396793587,0.0,0.0
C,23633,0.7275736695643817,0.9018036072144289,0.0,0.0
C,23642,0.7807454536561382,0.9839679358717435,0.0,0.0
C,23803,0.8295159888693329,0.9919839679358717,0.0,1.0
C,24062,0.7550869660587337,0.9639278557114228,0.0,0.0
C,24103,0.8017650819419249,0.9879759519038076,0.0,0.0
C,24306,0.7809209445494324,0.9679358717434869,0.0,0.0
C,24700,0.7762987991541925,0.9599198396793587,0.0,0.0
C,24790,0.6807113547819931,0.6372745490981964,0.0,0.0
C,25150,0.693284854028007,0.7655310621242485,0.0,0.0
C,25166,0.70925958011462,0.843687374749499,0.0,0.0
C,25339,0.8118512368629831,0.9959919839679359,0.0,1.0
C,25360,0.7824803185276706,0.9719438877755511,0.0,0.0
C,25374,0.7337206250722256,0.905811623246493,0.0,0.0
C,25447,0.7973347904573782,0.9939879759519038,0.0,1.0
C,26070,0.7530789277187266,0.9218436873747495,0.0,0.0
C,26146,0.7481119743344333,0.9639278557114228,0.0,0.0
C,26419,0.784336197959631,0.9438877755511023,0.0,0.0
C,26519,0.7014840099132362,0.9839679358717435,0.0,0.0
C,26535,0.7633136601910191,0.9899799599198397,0.0,0.0
C,26749,0.8357843852671987,0.9879759519038076,0.0,0.0
C,27131,0.7429675416569521,0.9539078156312625,0.0,0.0
C,27196,0.7514822818028919,0.9238476953907816,0.0,0.0
C,27240,0.7884973858997668,0.9839679358717435,0.0,0.0
C,27260,0.7908828516069708,1.0,1.0,1.0
C,27648,0.8043808783880054,0.9979959919839679,0.0,1.0
C,27688,0.8555075363322224,1.0,1.0,1.0
C,27781,0.7169322927590462,0.687374749498998,0.0,0.0
C,28157,0.8443482930739301,0.9979959919839679,0.0,1.0
C,28253,0.648675654573944,0.40681362725450904,0.0,0.0
C,28276,0.7983909032816927,0.9939879759519038,0.0,1.0
C,28309,0.7644241206383916,0.969939879759519,0.0,0.0
C,28511,0.6418194554823429,0.5250501002004008,0.0,0.0
C,28548,0.7829434371862192,0.9478957915831663,0.0,0.0
C,28979,0.6676376157083408,0.5531062124248497,0.0,0.0
C,29018,0.7653906770891818,0.9759519038076152,0.0,0.0
C,29179,0.8531163948727261,0.9979959919839679,0.0,1.0
C,29221,0.8156893282465194,0.9979959919839679,0.0,1.0
C,29400,0.709674001310206,0.8957915831663327,0.0,0.0
C,29511,0.7118018508867173,0.7615230460921844,0.0,0.0
C,29591,0.702082170499644,0.9619238476953907,0.0,0.0
C,29610,0.7818355695555786,0.9879759519038076,0.0,0.0
C,29717,0.8632911560386007,1.0,1.0,1.0
C,29815,0.8485343953574185,1.0,1.0,1.0
C,29831,0.7256871744965772,0.875751503006012,0.0,0.0
C,29903,0.7389318101859721,0.9118236472945892,0.0,0.0
C,29942,0.7620648680090221,0.9939879759519038,0.0,1.0
C,30016,0.5808925113716847,0.2545090180360721,0.0,0.0
C,30068,0.6756629575616102,0.5791583166332666,0.0,0.0
C,30077,0.8303336371901487,0.9639278557114228,0.0,0.0
C,30139,0.7790293615255555,0.9859719438877755,0.0,0.0
C,30888,0.7790746165519504,0.9498997995991983,0.0,0.0
C,30961,0.8111334515443811,0.9959919839679359,0.0,1.0
C,31234,0.7031014860583948,0.9819639278557114,0.0,0.0
C,31244,0.6830248543890081,0.7955911823647295,0.0,0.0
C,31251,0.7479392588342133,0.9178356713426854,0.0,0.0
C,31280,0.688352760868997,0.8517034068136272,0.0,0.0
C,31503,0.7788733036303349,0.9939879759519038,0.0,1.0
C,31776,0.7563037779591095,0.9679358717434869,0.0,0.0
C,32051,0.7984740843733162,1.0,1.0,1.0
C,32062,0.6800331520904261,0.6172344689378757,0.0,0.0
C,32140,0.8217087111088048,0.9839679358717435,0.0,0.0
C,32365,0.8023910498468823,1.0,1.0,1.0
