method,image_id,CLIP_cosine,CLIP_forward_two_way,CLIP_top1,CLIP_top5,AlexNet5_forward_two_way,Inception_forward_two_way,PixCorr,SSIM
Uniform,15182,0.5396551103751369,0.7625250501002003,0.0,0.125,0.9273547094188377,0.9634268537074148,0.3021955751959696,0.28235804915708684
Uniform,15191,0.5576012575114643,0.7665330661322645,0.0,0.0,0.7562625250501003,0.8742484969939881,0.01220248725892176,0.10891937190401935
Uniform,15274,0.7582366990969422,0.966182364729459,0.125,0.5,0.9085671342685371,0.8524549098196392,0.06986521142082894,0.2735092274651888
Uniform,15386,0.5556400243645121,0.7239478957915831,0.0,0.0,0.6761022044088176,0.8291583166332666,0.022628004062539876,0.08867016741269286
Uniform,15438,0.5461697929279348,0.6615731462925851,0.0,0.0,0.972194388777555,0.8499498997995992,-0.011669583416583994,0.3473515814016307
Uniform,15516,0.5151630444098756,0.8203907815631263,0.0,0.0,0.7938376753507014,0.9839679358717435,-0.07180570208916762,0.32467600508384814
Uniform,15631,0.6158929287685921,0.9160821643286573,0.0,0.0,0.8336673346693386,0.7049098196392787,0.08265669489442362,0.27522192421977953
Uniform,15632,0.5842455631647301,0.87625250501002,0.125,0.125,0.844188376753507,0.8952905811623246,-0.030202595410353687,0.28882554424047424
Uniform,15865,0.5401138612749419,0.6735971943887775,0.0,0.0,0.7069138276553106,0.00125250501002004,-0.022769001834261792,0.20387543098829186
Uniform,15898,0.6785625535673607,0.9486472945891783,0.0,0.0,0.9145791583166333,0.845440881763527,0.018095141320553777,0.1554879600908985
Uniform,15953,0.5684834797800447,0.7349699398797596,0.0,0.0,0.8589679358717435,0.8957915831663327,-0.022576433661812827,0.06711636977417629
Uniform,15985,0.755154268267094,0.9949899799599198,0.0,0.875,0.999749498997996,0.9884769539078156,0.22785312714159361,0.8271459223476749
Uniform,16251,0.724883798028291,0.9887274549098197,0.0,0.5,0.9939879759519039,0.9877254509018035,0.036181388399699595,0.5949395441744241
Uniform,16424,0.5993889589144754,0.9251002004008015,0.0,0.0,0.594188376753507,0.3579659318637275,0.051236725102694836,0.25635793251233996
Uniform,16525,0.7123422382618895,0.9957414829659319,0.625,0.875,0.9316132264529058,0.7768036072144289,0.05685523132285739,0.25766536137180396
Uniform,16625,0.8781356771313696,0.9934869739478958,0.125,0.875,0.9716933867735471,0.9892284569138277,0.12084740889746719,0.23122711863350853
Uniform,16718,0.5594425570457957,0.8489478957915833,0.0,0.0,0.9741983967935872,0.9924849699398797,0.15527761701005502,0.3139331502692818
