label,split,image_id,donor_id,condition,candidate,path,sha256,noise_sha256,guidance,clip,pixcorr,ssim,model_sha256
B0,train,23696,44010,wrong,1,wrong/23696-1.png,e42aa72d35f41697189adcbdb12031422f9a5ae13246298c532dfea0e504fb05,2fd882d695c4a24c1f03243124fd54f215d1c687123a46ba99d6ef66f4bf0827,4,0.5265292525291443,0.4086212663548349,0.543164122767528,
B0,train,44010,21652,correct,0,correct/44010-0.png,decff7cd9af44691cf1cb97f08a6e9582f6daf94b70df5d56661fd5c10f67848,35aa86981174181a98b4ce51d8b65a8bd0f95c2ceec4818494682c0873f3225b,4,0.8013577461242676,0.062319299767649064,0.36036585051247666,
B0,train,44010,21652,correct,1,correct/44010-1.png,8fca0ec1fdc62e88282a41281aaa45a05c24eaa287a89f391576eaaa2ddf3f9a,35aa86981174181a98b4ce51d8b65a8bd0f95c2ceec4818494682c0873f3225b,4,0.829953670501709,0.15645076732247276,0.395594490771417,
B0,train,44010,21652,wrong,0,wrong/44010-0.png,0c7bd0bc6d640cb0dfbfdaefdb8202dd445d21d5c3640e2b9f579ce95a303e9e,35aa86981174181a98b4ce51d8b65a8bd0f95c2ceec4818494682c0873f3225b,4,0.5869365334510803,0.1473676777638237,0.3763182636175376,
B0,train,44010,21652,wrong,1,wrong/44010-1.png,23d4546a35c196ffca06464b884a06066a43311cdaf435473749d7017eee09ca,35aa86981174181a98b4ce51d8b65a8bd0f95c2ceec4818494682c0873f3225b,4,0.6978008151054382,0.0577613637406844,0.25905540565835855,
B0,train,21652,6970,correct,0,correct/21652-0.png,20a04f07f89789e6527293355b013995e486a136fc1146a84c4f0265676bf860,deca6335f8f41d705a173f0a516e337acfc6c53d86d5870f07649aa25f90a597,4,0.7746637463569641,0.1587544367348438,0.27243771789917454,
B0,train,21652,6970,correct,1,correct/21652-1.png,bd75fe4a28d3e7c07be9d33b467543528d0a5bab73781ef84d8f31c8e6bbf5b5,deca6335f8f41d705a173f0a516e337acfc6c53d86d5870f07649aa25f90a597,4,0.7325140237808228,0.2206999658677084,0.2949022151959032,
B0,train,21652,6970,wrong,0,wrong/21652-0.png,c13ac044a313198fa6c03ed01fa446e0242a9138355fd0ba54bac3f459f54fcd,deca6335f8f41d705a173f0a516e337acfc6c53d86d5870f07649aa25f90a597,4,0.5877081155776978,0.006294075836292391,0.30861224899716017,
B0,train,21652,6970,wrong,1,wrong/21652-1.png,31e542a59a1355f5cdf904d5bfaddee10463e950ee130fa9f06e64200fd9e36c,deca6335f8f41d705a173f0a516e337acfc6c53d86d5870f07649aa25f90a597,4,0.6008426547050476,0.22559263171739952,0.3120376099375369,
B0,train,6970,35190,correct,0,correct/6970-0.png,2e2d94faf5b8ffe62beaac31ec89074e2056503dc50dc79d9c80d2355791a752,7b6545b71671e9b1cdbb3e8f1f39d98a09c15c1547791b5eb984bee429ac7e4c,4,0.6018047332763672,-0.5854413918108244,0.5763328016541245,
