label,split,image_id,donor_id,correct_clip,correct_pixcorr,correct_ssim,wrong_clip,wrong_pixcorr,wrong_ssim,advantage_clip
L1000,train,40682,38942,0.7838624119758606,0.5996592834414692,0.44791739516082696,,,,
L1000,train,38942,4905,0.715895801782608,0.10945652057845802,0.38845605231129354,,,,
L1000,train,4905,17344,0.6386597752571106,0.03974727921366916,0.25603656232041694,,,,
L1000,train,17344,32725,0.5568351745605469,0.07575167506615783,0.18838545157591277,,,,
L1000,train,32725,28449,0.8363916575908661,0.42083319336859215,0.16303678468900754,,,,
L1000,train,28449,4723,0.5793421864509583,-0.2751893429542912,0.45420449193467793,,,,
L1000,train,4723,70126,0.5786747336387634,0.03509089805336259,0.2891335566914665,,,,
L1000,train,70126,26393,0.6350701153278351,-0.05295004399794229,0.2960924504766649,,,,
L1000,train,26393,33748,0.7266627848148346,-0.03671855452500998,0.543754784088058,,,,
L1000,train,33748,57293,0.9198183417320251,0.5495087406132283,0.30543464690457256,,,,
L1000,train,57293,20217,0.7585986852645874,0.06600368199461296,0.2203205013067254,,,,
L1000,train,20217,15879,0.6739639341831207,0.07865335104072588,0.2736940332903296,,,,
L1000,train,15879,69036,0.6364276111125946,0.11615747611524824,0.21000854135845565,,,,
L1000,train,69036,3625,0.9336118698120117,0.49798671370865405,0.33057099308564186,,,,
L1000,train,3625,23696,0.7407581508159637,-0.10584294804145492,0.16680486434263259,,,,
L1000,train,23696,44010,0.5773914158344269,-0.09413932486307067,0.5598925792944844,,,,
L1000,train,44010,21652,0.8267576098442078,0.12609799984864412,0.3828665118250346,,,,
L1000,train,21652,6970,0.712306410074234,0.18830444565933657,0.2900761016479452,,,,
L1000,train,6970,35190,0.6443601548671722,-0.30949209692215546,0.5733881857228991,,,,
L1000,train,35190,50780,0.6695907413959503,-0.03628935065758697,0.17818950580374857,,,,
L1000,train,50780,45620,0.7617531418800354,0.3590948939157971,0.4448336047522953,,,,
L1000,train,45620,27323,0.8629769086837769,0.22032198332911468,0.3302621084216544,,,,
L1000,train,27323,51581,0.6251620054244995,0.16566601769909695,0.3473508100320889,,,,
L1000,train,51581,7163,0.6499300003051758,-0.014237367170718579,0.36481082325139264,,,,
L1000,train,7163,50828,0.681424617767334,-0.015303886346766313,0.29667956189406874,,,,
L1000,train,50828,53785,0.7756816744804382,-0.027926750576910055,0.4716868558412062,,,,
L1000,train,53785,1851,0.6345935165882111,0.08928073645116096,0.28926468263244354,,,,
L1000,train,1851,29558,0.7681896388530731,0.03753284196635226,0.27686135193692074,,,,
L1000,train,29558,59471,0.6273438930511475,0.09388638105921435,0.1559690345270075,,,,
L1000,train,59471,59462,0.5611297190189362,0.11010506946036064,0.292163626176686,,,,
L1000,train,59462,16584,0.7713086903095245,-0.017136855155585884,0.22933142281965063,,,,
H2500,train,16584,40682,0.5477228760719299,0.025553336525935437,0.09172005466977612,,,,
H2500,train,40682,38942,0.780022919178009,0.5712533461025302,0.4305634921540549,,,,
H2500,train,38942,4905,0.7172207832336426,0.13018396074434674,0.40035911503304106,,,,
H2500,train,4905,17344,0.6789578795433044,0.01221148446001756,0.26827412905267833,,,,
H2500,train,17344,32725,0.5680835843086243,0.04433716733881687,0.15717133821368767,,,,
