/data1/matengyu/geyugong/neuroadapter-subject1-research/envs/neuroadapter/lib/python3.11/site-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
H local_update=4250 loss=0.097323 elapsed=2626.7s
H local_update=4260 loss=0.110125 elapsed=2632.9s
H local_update=4270 loss=0.155259 elapsed=2639.0s
H local_update=4280 loss=0.110777 elapsed=2645.1s
H local_update=4290 loss=0.143635 elapsed=2651.1s
H local_update=4300 loss=0.112783 elapsed=2657.2s
H local_update=4310 loss=0.154896 elapsed=2663.2s
H local_update=4320 loss=0.119330 elapsed=2669.3s
H local_update=4330 loss=0.089166 elapsed=2675.4s
H local_update=4340 loss=0.067007 elapsed=2681.5s
H local_update=4350 loss=0.087516 elapsed=2687.6s
H local_update=4360 loss=0.076072 elapsed=2693.8s
H local_update=4370 loss=0.113761 elapsed=2699.9s
H local_update=4380 loss=0.128891 elapsed=2705.9s
H local_update=4390 loss=0.095188 elapsed=2712.0s
H local_update=4400 loss=0.081934 elapsed=2718.1s
H local_update=4410 loss=0.114915 elapsed=2724.2s
H local_update=4420 loss=0.096739 elapsed=2730.3s
H local_update=4430 loss=0.164805 elapsed=2736.4s
H local_update=4440 loss=0.134988 elapsed=2742.5s
H local_update=4450 loss=0.096422 elapsed=2748.6s
H local_update=4460 loss=0.123366 elapsed=2754.7s
H local_update=4470 loss=0.092919 elapsed=2760.8s
H local_update=4480 loss=0.094040 elapsed=2766.9s
H local_update=4490 loss=0.124772 elapsed=2772.9s
H local_update=4500 loss=0.108157 elapsed=2778.9s
H local_update=4510 loss=0.083062 elapsed=2785.0s
H local_update=4520 loss=0.167952 elapsed=2791.1s
H local_update=4530 loss=0.096241 elapsed=2797.2s
H local_update=4540 loss=0.135288 elapsed=2803.3s
H local_update=4550 loss=0.140426 elapsed=2809.4s
H local_update=4560 loss=0.140730 elapsed=2815.5s
H local_update=4570 loss=0.070750 elapsed=2821.6s
H local_update=4580 loss=0.124753 elapsed=2827.6s
H local_update=4590 loss=0.157253 elapsed=2833.7s
H local_update=4600 loss=0.110846 elapsed=2839.8s
H local_update=4610 loss=0.129918 elapsed=2845.9s
H local_update=4620 loss=0.101159 elapsed=2852.1s
H local_update=4630 loss=0.110243 elapsed=2858.2s
H local_update=4640 loss=0.101022 elapsed=2864.2s
H local_update=4650 loss=0.067693 elapsed=2870.3s
H local_update=4660 loss=0.109604 elapsed=2876.4s
H local_update=4670 loss=0.117342 elapsed=2882.5s
H local_update=4680 loss=0.139473 elapsed=2888.5s
H local_update=4690 loss=0.100545 elapsed=2894.6s
H local_update=4700 loss=0.088722 elapsed=2900.7s
H local_update=4710 loss=0.172815 elapsed=2906.8s
H local_update=4720 loss=0.058093 elapsed=2912.9s
H local_update=4730 loss=0.087774 elapsed=2918.9s
H local_update=4740 loss=0.129830 elapsed=2925.1s
H local_update=4750 loss=0.117557 elapsed=2931.1s
H local_update=4760 loss=0.087666 elapsed=2937.2s
H local_update=4770 loss=0.154133 elapsed=2943.5s
H local_update=4780 loss=0.125512 elapsed=2949.5s
