/data1/matengyu/geyugong/neuroadapter-subject1-research/envs/neuroadapter/lib/python3.11/site-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
L local_update=4450 loss=0.096466 elapsed=2732.3s
L local_update=4460 loss=0.123203 elapsed=2738.3s
L local_update=4470 loss=0.092830 elapsed=2744.5s
L local_update=4480 loss=0.094000 elapsed=2750.6s
L local_update=4490 loss=0.124635 elapsed=2756.8s
L local_update=4500 loss=0.107975 elapsed=2763.0s
L local_update=4510 loss=0.082964 elapsed=2769.1s
L local_update=4520 loss=0.167785 elapsed=2775.3s
L local_update=4530 loss=0.096480 elapsed=2781.4s
L local_update=4540 loss=0.135058 elapsed=2787.4s
L local_update=4550 loss=0.140310 elapsed=2793.6s
L local_update=4560 loss=0.140648 elapsed=2799.8s
L local_update=4570 loss=0.070799 elapsed=2806.1s
L local_update=4580 loss=0.124840 elapsed=2812.2s
L local_update=4590 loss=0.157363 elapsed=2818.4s
L local_update=4600 loss=0.110773 elapsed=2824.6s
L local_update=4610 loss=0.129889 elapsed=2830.7s
L local_update=4620 loss=0.101080 elapsed=2836.8s
L local_update=4630 loss=0.110062 elapsed=2842.9s
L local_update=4640 loss=0.100838 elapsed=2848.9s
L local_update=4650 loss=0.067708 elapsed=2855.0s
L local_update=4660 loss=0.109618 elapsed=2861.2s
L local_update=4670 loss=0.117267 elapsed=2867.3s
L local_update=4680 loss=0.139318 elapsed=2873.4s
L local_update=4690 loss=0.100535 elapsed=2879.6s
L local_update=4700 loss=0.088680 elapsed=2885.7s
L local_update=4710 loss=0.172702 elapsed=2891.9s
L local_update=4720 loss=0.058113 elapsed=2898.0s
L local_update=4730 loss=0.087707 elapsed=2904.0s
L local_update=4740 loss=0.129854 elapsed=2910.1s
L local_update=4750 loss=0.117586 elapsed=2916.2s
L local_update=4760 loss=0.087591 elapsed=2922.3s
L local_update=4770 loss=0.154138 elapsed=2928.5s
L local_update=4780 loss=0.125520 elapsed=2934.7s
L local_update=4790 loss=0.117287 elapsed=2940.8s
L local_update=4800 loss=0.109317 elapsed=2947.1s
L local_update=4810 loss=0.155343 elapsed=2953.2s
L local_update=4820 loss=0.084781 elapsed=2959.3s
L local_update=4830 loss=0.102447 elapsed=2965.4s
L local_update=4840 loss=0.099059 elapsed=2971.5s
L local_update=4850 loss=0.122993 elapsed=2977.6s
L local_update=4860 loss=0.129445 elapsed=2983.7s
L local_update=4870 loss=0.123901 elapsed=2989.9s
L local_update=4880 loss=0.108154 elapsed=2996.0s
L local_update=4890 loss=0.096672 elapsed=3002.2s
L local_update=4900 loss=0.077542 elapsed=3008.3s
L local_update=4910 loss=0.113119 elapsed=3014.5s
L local_update=4920 loss=0.140325 elapsed=3020.6s
L local_update=4930 loss=0.068489 elapsed=3026.7s
L local_update=4940 loss=0.089394 elapsed=3032.8s
L local_update=4950 loss=0.106600 elapsed=3038.9s
L local_update=4960 loss=0.095468 elapsed=3045.1s
L local_update=4970 loss=0.096163 elapsed=3051.3s
L local_update=4980 loss=0.108158 elapsed=3057.5s
L local_update=4990 loss=0.111788 elapsed=3063.7s
L local_update=5000 loss=0.073529 elapsed=3069.9s
